시군구,주택유형,연면적(㎡),대지면적(㎡),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강서구 화곡동,다가구,218.97,147.5,21~31,"67,850",1990,곰달래로19나길
 서울특별시 강서구 화곡동,다가구,221.82,148.8,21~31,"60,000",1989,곰달래로19길
 서울특별시 강서구 화곡동,다가구,223.05,149.7,21~31,"54,000",1989,월정로30나길
 서울특별시 강서구 화곡동,다가구,229.5,153.4,21~31,"58,000",1988,월정로28가길
 서울특별시 강서구 화곡동,다가구,236.85,155.7,21~31,"65,000",1991,월정로30나길
 서울특별시 강서구 화곡동,다가구,236.25,156,21~31,"56,600",1990,월정로30나길
 서울특별시 강서구 화곡동,다가구,258.2,157.7,11~20,"71,000",1987,곰달래로51길
 서울특별시 강서구 화곡동,다가구,253.68,158.6,11~20,"76,000",2008,곰달래로
 서울특별시 강서구 화곡동,다가구,228.66,165.3,11~20,"41,250",1990,강서로18바길
 서울특별시 강서구 화곡동,다가구,247.14,169.9,11~20,"75,000",1988,곰달래로
 서울특별시 강서구 화곡동,다가구,397.99,174.2,11~20,"68,000",1996,곰달래로
 서울특별시 강서구 화곡동,다가구,324.59,179,11~20,"54,000",1995,초록마을로22길
 서울특별시 강서구 화곡동,다가구,295.98,180.8,21~31,"74,000",1993,등촌로13다길
 서울특별시 강서구 화곡동,다가구,140.65,182,21~31,"68,000",1969,화곡로
 서울특별시 강서구 화곡동,다가구,395.94,191.3,11~20,"69,200",1996,곰달래로35길
 서울특별시 강서구 화곡동,다가구,405.51,199.9,21~31,"70,000",1996,강서로17가길
 서울특별시 강서구 화곡동,다가구,237.54,201.4,11~20,"76,500",1989,강서로8길
 서울특별시 강서구 화곡동,다가구,445.64,202,1~10,"78,800",1996,초록마을로30길
 서울특별시 강서구 화곡동,다가구,578.34,211.7,11~20,"125,000",1991,화곡로21길
 서울특별시 강서구 화곡동,다가구,160.66,223,11~20,"70,000",1977,등촌로13나길
 서울특별시 강서구 화곡동,다가구,320.49,225,1~10,"108,800",1990,까치산로4나길
 서울특별시 강서구 화곡동,다가구,561.02,235.3,11~20,"148,000",1997,강서로35길
 서울특별시 강서구 화곡동,다가구,321,262.8,21~31,"102,000",1991,강서로5라길
 서울특별시 강서구 화곡동,단독,135.1,69,1~10,"28,590",1993,강서로17다길
 서울특별시 강서구 화곡동,단독,59.5,101.8,1~10,"39,000",1973,등촌로3나길
 서울특별시 강서구 화곡동,단독,148.92,103.4,1~10,"48,000",1983,가로공원로76가길
 서울특별시 강서구 화곡동,단독,50.57,109,21~31,"31,000",1971,까치산로18나길
 서울특별시 강서구 화곡동,단독,174.6,122,21~31,"40,700",1989,초록마을로32길
 서울특별시 강서구 화곡동,단독,181.62,124,21~31,"46,125",1987,화곡로44가길
 서울특별시 강서구 화곡동,단독,181.62,125,11~20,"42,714",1987,화곡로44가길
 서울특별시 강서구 화곡동,단독,188.64,126,21~31,"46,500",1993,강서로18나길
 서울특별시 강서구 화곡동,단독,89.25,137.5,21~31,"45,000",1977,곰달래로25길
 서울특별시 강서구 화곡동,단독,229.92,156.3,21~31,"55,000",1989,강서로17라길
 서울특별시 강서구 화곡동,단독,278.88,162.9,11~20,"78,500",1974,강서로29길
 서울특별시 강서구 화곡동,단독,246.12,170.9,21~31,"60,000",1990,강서로17다길
 서울특별시 강서구 화곡동,단독,141.57,188,11~20,"86,000",1975,강서로29길
 서울특별시 강서구 화곡동,단독,249.18,208.9,21~31,"72,500",1985,등촌로5가길
 서울특별시 강서구 화곡동,단독,156.69,214.2,21~31,"73,000",1982,강서로37길
 서울특별시 강서구 화곡동,단독,514.35,236,1~10,"85,000",1989,화곡로31길
 서울특별시 강서구 화곡동,단독,255.53,241.9,11~20,"107,000",1981,월정로30길
 서울특별시 강서구 화곡동,단독,170.91,276,11~20,"125,000",1982,화곡로46길
 서울특별시 관악구 남현동,다가구,223.02,152,21~31,"81,000",1990,남부순환로256길
 서울특별시 관악구 남현동,다가구,247.37,166.9,21~31,"90,000",1991,남부순환로272길
 서울특별시 관악구 남현동,다가구,503.38,218,21~31,"215,000",1997,승방6길
 서울특별시 관악구 남현동,다가구,436.72,221,21~31,"220,600",1995,승방6길
 서울특별시 관악구 봉천동,다가구,152.49,110.7,11~20,"45,500",1984,국회단지2길
 서울특별시 관악구 봉천동,다가구,190.41,120.1,21~31,"73,800",1993,솔밭로4길
 서울특별시 관악구 봉천동,다가구,225.62,152,21~31,"65,000",1993,행운6길
 서울특별시 관악구 봉천동,다가구,371.15,159,11~20,"75,000",2002,행운길
 서울특별시 관악구 봉천동,다가구,163.97,162,1~10,"63,700",1975,당곡6다길
 서울특별시 관악구 봉천동,다가구,297.06,182.7,21~31,"111,500",1994,낙성대역6길
 서울특별시 관악구 봉천동,다가구,248.99,194,1~10,"99,700",1985,당곡6다길
 서울특별시 관악구 봉천동,다가구,350.82,205,11~20,"89,300",1991,국회단지길
 서울특별시 관악구 봉천동,다가구,433.38,217.9,11~20,"126,000",2003,관악로11길
 서울특별시 관악구 봉천동,다가구,537.2,255,11~20,"165,000",1997,낙성대역10길
 서울특별시 관악구 봉천동,단독,34.55,36,21~31,"13,850",1966,봉천로23다길
 서울특별시 관악구 봉천동,단독,104.04,89,21~31,"27,000",1983,청림5길
 서울특별시 관악구 봉천동,단독,36.18,92.5,1~10,"44,000",1985,봉천로
 서울특별시 관악구 봉천동,단독,240.85,108.4,11~20,"73,500",1993,청룡5길
 서울특별시 관악구 봉천동,단독,146.12,113,11~20,"42,500",1975,참숯길
 서울특별시 관악구 봉천동,단독,119.01,114.8,11~20,"39,000",1978,청룡13길
 서울특별시 관악구 봉천동,단독,126.42,116,1~10,"56,000",1974,행운5길
 서울특별시 관악구 봉천동,단독,152.46,121.5,11~20,"41,300",1983,참숯1길
 서울특별시 관악구 봉천동,단독,119.29,126,1~10,"49,400",1973,은천로35나길
 서울특별시 관악구 봉천동,단독,80.89,129.5,11~20,"62,480",1900,관악로12길
